t, c	M(t), рад	E(t), рад	Theta(t), рад	
422	0.0613774	0.177071	0.385224
423	0.0615229	0.177469	0.386073
424	0.0616683	0.177875	0.38694
425	0.0618137	0.178301	0.387849
426	0.0619592	0.178699	0.388698
427	0.0621046	0.17912	0.389595
428	0.0622501	0.179527	0.390461
429	0.0623955	0.179953	0.39137
430	0.062541	0.180351	0.392218
431	0.0626864	0.180771	0.393114
432	0.0628319	0.181169	0.393962
433	0.0629773	0.181576	0.394828
434	0.0631227	0.182002	0.395736
435	0.0632682	0.1824	0.396583
436	0.0634136	0.182821	0.397479
437	0.0635591	0.183219	0.398326
438	0.0637045	0.183625	0.399192
439	0.06385	0.184051	0.400099
440	0.0639954	0.184472	0.400994
441	0.0641409	0.18487	0.401841
442	0.0642863	0.185277	0.402706
443	0.0644317	0.185703	0.403613
444	0.0645772	0.186101	0.404459
445	0.0647226	0.186522	0.405354
446	0.0648681	0.186919	0.4062
447	0.0650135	0.187326	0.407065
448	0.065159	0.187752	0.40797
449	0.0653044	0.18815	0.408816
450	0.0654498	0.188571	0.40971
451	0.0655953	0.188969	0.410556
452	0.0657407	0.189375	0.41142
453	0.0658862	0.189802	0.412325
454	0.0660316	0.1902	0.41317
455	0.0661771	0.19062	0.414064
456	0.0663225	0.191018	0.414909
457	0.066468	0.191425	0.415772
458	0.0666134	0.191851	0.416676
459	0.0667588	0.192249	0.417521
460	0.0669043	0.19267	0.418414
461	0.0670497	0.193068	0.419258
462	0.0671952	0.193474	0.420121
463	0.0673406	0.193872	0.420965
464	0.0674861	0.194284	0.421839
465	0.0676315	0.194691	0.422701
466	0.067777	0.195117	0.423605
467	0.0679224	0.195515	0.424448
468	0.0680678	0.195936	0.42534
469	0.0682133	0.196334	0.426183
470	0.0683587	0.19674	0.427045
471	0.0685042	0.197166	0.427948
472	0.0686496	0.197564	0.428791
473	0.0687951	0.197985	0.429682
474	0.0689405	0.198383	0.430525
475	0.0690859	0.198781	0.431367
476	0.0692314	0.199187	0.432228
477	0.0693768	0.199614	0.43313
478	0.0695223	0.200012	0.433973
479	0.0696677	0.200432	0.434863
480	0.0698132	0.20083	0.435705
481	0.0699586	0.201237	0.436565
482	0.0701041	0.201635	0.437407
483	0.0702495	0.202061	0.438308
484	0.0703949	0.202459	0.43915
485	0.0705404	0.20288	0.440039
486	0.0706858	0.203277	0.44088
487	0.0708313	0.203684	0.44174
488	0.0709767	0.204082	0.442581
489	0.0711222	0.204508	0.443481
490	0.0712676	0.204906	0.444322
491	0.0714131	0.205327	0.445211
492	0.0715585	0.205725	0.446051
493	0.0717039	0.206123	0.446892
494	0.0718494	0.206529	0.44775
495	0.0719948	0.206955	0.44865
496	0.0721403	0.207353	0.44949
497	0.0722857	0.207746	0.450318
498	0.0724312	0.208172	0.451217
