t, c	M(t), рад	E(t), рад	Theta(t), рад	
414	0.0602139	0.173772	0.378183
415	0.0603593	0.17418	0.379056
416	0.0605047	0.174589	0.379928
417	0.0606502	0.175009	0.380825
418	0.0607956	0.175418	0.381697
419	0.0609411	0.175826	0.382569
420	0.0610865	0.176235	0.383442
421	0.061232	0.176655	0.384338
422	0.0613774	0.177064	0.38521
423	0.0615229	0.177472	0.386081
424	0.0616683	0.177881	0.386953
425	0.0618137	0.178301	0.387849
426	0.0619592	0.17871	0.38872
427	0.0621046	0.179119	0.389592
428	0.0622501	0.179527	0.390463
429	0.0623955	0.179936	0.391334
430	0.062541	0.180356	0.392229
431	0.0626864	0.180765	0.3931
432	0.0628319	0.181173	0.39397
433	0.0629773	0.181582	0.394841
434	0.0631227	0.181991	0.395711
435	0.0632682	0.182411	0.396606
436	0.0634136	0.182819	0.397476
437	0.0635591	0.183228	0.398346
438	0.0637045	0.183637	0.399216
439	0.06385	0.184045	0.400086
440	0.0639954	0.184454	0.400956
441	0.0641409	0.184874	0.40185
442	0.0642863	0.185283	0.402719
443	0.0644317	0.185691	0.403588
444	0.0645772	0.1861	0.404458
445	0.0647226	0.186509	0.405327
446	0.0648681	0.186917	0.406196
447	0.0650135	0.187326	0.407064
448	0.065159	0.187746	0.407957
449	0.0653044	0.188155	0.408826
450	0.0654498	0.188563	0.409695
451	0.0655953	0.188972	0.410563
452	0.0657407	0.189381	0.411431
453	0.0658862	0.189789	0.412299
454	0.0660316	0.190198	0.413167
455	0.0661771	0.190607	0.414035
456	0.0663225	0.191015	0.414903
457	0.066468	0.191424	0.41577
458	0.0666134	0.191833	0.416638
459	0.0667588	0.192241	0.417505
460	0.0669043	0.192662	0.418397
461	0.0670497	0.19307	0.419264
462	0.0671952	0.193479	0.420131
463	0.0673406	0.193887	0.420998
464	0.0674861	0.194296	0.421864
465	0.0676315	0.194705	0.422731
466	0.067777	0.195113	0.423597
467	0.0679224	0.195522	0.424464
468	0.0680678	0.195931	0.42533
