t, c	M(t), рад	E(t), рад	Theta(t), рад	
599	0.087121	0.248932	0.536516
600	0.0872665	0.249332	0.537346
601	0.0874119	0.249732	0.538176
602	0.0875574	0.250132	0.539005
603	0.0877028	0.250532	0.539835
604	0.0878482	0.250932	0.540663
605	0.0879937	0.251331	0.541492
606	0.0881391	0.251731	0.54232
607	0.0882846	0.252131	0.543148
608	0.08843	0.25253	0.543976
609	0.0885755	0.25293	0.544803
610	0.0887209	0.253329	0.54563
611	0.0888663	0.253728	0.546457
612	0.0890118	0.254128	0.547284
613	0.0891572	0.254527	0.54811
614	0.0893027	0.254926	0.548936
615	0.0894481	0.255325	0.549762
616	0.0895936	0.255724	0.550587
617	0.089739	0.256123	0.551412
618	0.0898845	0.256522	0.552237
619	0.0900299	0.256921	0.553061
620	0.0901753	0.257319	0.553885
621	0.0903208	0.257718	0.554709
622	0.0904662	0.258116	0.555532
623	0.0906117	0.258515	0.556356
624	0.0907571	0.258913	0.557178
625	0.0909026	0.259312	0.558001
626	0.091048	0.25971	0.558823
627	0.0911935	0.260108	0.559645
628	0.0913389	0.260506	0.560467
629	0.0914843	0.260904	0.561288
630	0.0916298	0.261302	0.56211
631	0.0917752	0.2617	0.56293
632	0.0919207	0.262098	0.563751
633	0.0920661	0.262495	0.564571
634	0.0922116	0.262893	0.565391
635	0.092357	0.263291	0.56621
636	0.0925025	0.263688	0.56703
637	0.0926479	0.264086	0.567849
638	0.0927933	0.264483	0.568667
639	0.0929388	0.26488	0.569486
640	0.0930842	0.265278	0.570304
641	0.0932297	0.265675	0.571121
642	0.0933751	0.266072	0.571939
643	0.0935206	0.266469	0.572756
644	0.093666	0.266866	0.573573
645	0.0938114	0.267263	0.574389
646	0.0939569	0.267659	0.575206
647	0.0941023	0.268056	0.576021
648	0.0942478	0.268453	0.576837
649	0.0943932	0.268849	0.577652
650	0.0945387	0.269246	0.578467
651	0.0946841	0.269642	0.579282
652	0.0948296	0.270038	0.580096
653	0.094975	0.270435	0.58091
654	0.0951204	0.270831	0.581724
655	0.0952659	0.271227	0.582538
656	0.0954113	0.271623	0.583351
657	0.0955568	0.272019	0.584164
658	0.0957022	0.272415	0.584976
659	0.0958477	0.272811	0.585788
660	0.0959931	0.273206	0.5866
661	0.0961386	0.273602	0.587412
662	0.096284	0.273997	0.588223
663	0.0964294	0.274393	0.589034
664	0.0965749	0.274788	0.589845
665	0.0967203	0.275184	0.590655
666	0.0968658	0.275579	0.591465
667	0.0970112	0.275974	0.592275
668	0.0971567	0.276369	0.593084
669	0.0973021	0.276764	0.593893
670	0.0974475	0.277159	0.594702
671	0.097593	0.277554	0.595511
672	0.0977384	0.277949	0.596319
673	0.0978839	0.278344	0.597127
674	0.0980293	0.278738	0.597934
675	0.0981748	0.279133	0.598741
676	0.0983202	0.279527	0.599548
677	0.0984657	0.279922	0.600355
678	0.0986111	0.280316	0.601161
679	0.0987565	0.280711	0.601967
680	0.098902	0.281105	0.602773
681	0.0990474	0.281499	0.603578
682	0.0991929	0.281893	0.604383
683	0.0993383	0.282287	0.605188
684	0.0994838	0.282681	0.605992
685	0.0996292	0.283075	0.606796
686	0.0997747	0.283468	0.6076
687	0.0999201	0.283862	0.608404
688	0.100066	0.284256	0.609207
689	0.100211	0.284649	0.61001
690	0.100356	0.285042	0.610812
691	0.100502	0.285436	0.611614
692	0.100647	0.285829	0.612416
693	0.100793	0.286222	0.613218
694	0.100938	0.286615	0.614019
695	0.101084	0.287008	0.61482
696	0.101229	0.287401	0.615621
697	0.101375	0.287794	0.616421
698	0.10152	0.288187	0.617221
699	0.101665	0.28858	0.618021
700	0.101811	0.288973	0.61882
701	0.101956	0.289365	0.619619
702	0.102102	0.289758	0.620418
703	0.102247	0.29015	0.621216
704	0.102393	0.290542	0.622014
705	0.102538	0.290935	0.622812
706	0.102684	0.291327	0.623609
707	0.102829	0.291719	0.624407
708	0.102974	0.292111	0.625203
709	0.10312	0.292503	0.626
710	0.103265	0.292895	0.626796
711	0.103411	0.293287	0.627592
712	0.103556	0.293678	0.628387
713	0.103702	0.29407	0.629183
714	0.103847	0.294461	0.629978
715	0.103993	0.294853	0.630772
716	0.104138	0.295244	0.631566
717	0.104283	0.295636	0.63236
718	0.104429	0.296027	0.633154
719	0.104574	0.296418	0.633947
720	0.10472	0.296809	0.63474
721	0.104865	0.2972	0.635533
722	0.105011	0.297591	0.636325
723	0.105156	0.297982	0.637117
724	0.105302	0.298373	0.637909
725	0.105447	0.298763	0.6387
726	0.105592	0.299154	0.639491
727	0.105738	0.299545	0.640282
728	0.105883	0.299935	0.641073
729	0.106029	0.300325	0.641863
730	0.106174	0.300716	0.642653
731	0.10632	0.301106	0.643442
732	0.106465	0.301496	0.644231
733	0.106611	0.301886	0.64502
734	0.106756	0.302276	0.645808
735	0.106901	0.302666	0.646597
736	0.107047	0.303056	0.647384
737	0.107192	0.303445	0.648172
738	0.107338	0.303835	0.648959
739	0.107483	0.304225	0.649746
740	0.107629	0.304614	0.650533
741	0.107774	0.305004	0.651319
742	0.10792	0.305393	0.652105
743	0.108065	0.305782	0.65289
